10/23/2022,SAVE ON FOODS #2229,49.86,,388.27
10/17/2022,KOODO TOP UP REAPPROV,15.75,,338.41
10/14/2022,VALUE VILLAGE # 2004,13.41,,322.66
10/14/2022,SAVE ON FOODS #2229,74.69,,309.25
10/14/2022,YOUR DOLLAR STORE WITH MO,9.53,,234.56
10/01/2022,PAYMENT - THANK YOU,,341.95,225.03
09/30/2022,IWORLD CONNECT A DIV OF W,26.88,,566.98
09/29/2022,SHOPPERS DRUG MART #22,30.47,,540.10
09/29/2022,SAVE ON FOODS #2229,46.06,,509.63
09/29/2022,BOSTON PIZZA # 081,73.47,,463.57
09/27/2022,UBCO TIM HORTONS,3.14,,390.10
09/26/2022,SAVE ON FOODS #2229,45.01,,386.96
